日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,林口,AMB_TEMP,15,15,15,15,15,15,15,15,16,17,17,18,19,20,20,20,20,19,19,19,17,17,17,17
2016/01/01,林口,CO,0.43,0.43,0.4,0.38,0.33,0.32,0.33,0.38,0.38,0.35,0.33,0.32,0.33,0.32,0.33,0.34,0.36,0.36,0.36,0.35,0.39,0.39,0.39,0.31
2016/01/01,林口,NO,0.8,1,1,1.4,1.3,1.6,1.7,2.4,3.3,3.7,3.3,3.5,3,2.7,2.9,3.2,2.9,2.5,2,1.9,1.9,2.6,2.5,1.5
2016/01/01,林口,NO2,6.3,8.9,9.3,9.1,7.2,7.8,8.9,12,13,10,8.1,7.4,6.8,6.6,7.4,8.9,10,10,9.9,12,12,13,15,7.6
2016/01/01,林口,NOx,7.2,9.9,10,10,8.5,9.4,11,15,16,14,11,11,9.8,9.3,10,12,13,13,12,14,14,16,17,9.1
2016/01/01,林口,O3,51,46,43,42,44,42,39,36,36,40,42,44,45,46,45,43,41,41,42,38,28,25,24,31
2016/01/01,林口,PM10,89,84,75,70,66,63,62,59,61,62,54,46,48,54,55,56,52,49,46,38,52,66,55,42
2016/01/01,林口,PM2.5,52,49,43,36,34,34,30,30,28,22,24,25,22,23,25,27,28,25,20,22,24,26,29,26
2016/01/01,林口,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,林口,RH,76,80,81,80,83,86,85,85,83,82,83,81,78,77,76,77,80,84,84,86,94,97,98,98
2016/01/01,林口,SO2,2.2,4.7,4.9,4.5,4.5,5.3,4.4,4.1,2.8,2.8,2.5,2.7,2.5,2.8,3,3.9,3.5,2.8,2.9,6.5,3.3,3.7,4.3,3.9
2016/01/01,林口,WD_HR,78,83,77,82,88,87,89,93,96,97,99,99,102,96,96,84,77,74,72,64,39,44,47,304
2016/01/01,林口,WIND_DIREC,83,78,72,89,90,88,86,102,91,94,107,87,96,79,97,79,71,74,71,39,39,25,11,297
2016/01/01,林口,WIND_SPEED,4.6,4.2,4.1,3.8,4,5.2,5,4.6,5.3,6.1,6,5,5.3,4.8,4,4,3.3,3.1,3,2,1,1,0.7,0.9
2016/01/01,林口,WS_HR,4,3.7,3.5,3.2,4.1,4.3,4.5,4.2,4.6,4.9,5.2,4.5,4.4,4.5,3.8,3.3,3.2,3.1,2.9,2.5,1.2,0.8,0.5,0.4
2016/01/02,林口,AMB_TEMP,17,17,17,16,16,16,16,16,17,17,17,17,16,17,17,17,17,17,18,17,17,17,18,18
2016/01/02,林口,CO,0.3,0.29,0.29,0.29,0.29,0.3,0.31,0.33,0.32,0.31,0.32,0.35,0.36,0.37,0.37,0.41,0.45,0.85,0.97,0.91,0.55,0.9,1.17,1.39
2016/01/02,林口,NO,1.6,1.4,1.5,1.5,1.3,1.6,1.6,2.2,2.3,2.4,2.8,3.3,2.4,2.6,2.8,2.8,2.3,10,15,9.2,2.6,8.4,30,51
2016/01/02,林口,NO2,9.8,5,4.4,4.2,3.2,3.6,5.6,7.7,7,9.3,9.8,10,9.5,11,12,15,15,35,41,37,21,38,43,42
2016/01/02,林口,NOx,11,6.4,6,5.7,4.6,5.2,7.1,9.9,9.3,12,13,13,12,14,15,18,17,45,56,46,23,46,72,93
2016/01/02,林口,O3,30,39,41,41,42,39,38,36,36,35,33,34,37,39,39,35,29,11,4.3,5,18,5.7,2.7,2.5
2016/01/02,林口,PM10,43,46,47,55,54,54,60,59,60,68,75,74,74,83,91,104,111,120,122,115,114,110,102,81
2016/01/02,林口,PM2.5,25,27,29,26,25,25,27,27,29,29,31,35,41,46,42,44,49,60,65,63,57,52,53,51
2016/01/02,林口,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.4,0.4,NR
2016/01/02,林口,RH,98,98,98,98,98,98,98,98,98,98,98,98,98,98,97,95,94,96,96,96,98,97,98,97
2016/01/02,林口,SO2,3.7,1.7,2,1.8,1.4,1.4,1.4,1.4,1.4,2,2.4,3.1,3.3,3.5,3.3,3.1,3.2,4.1,4.7,5.1,5.5,4.6,5.2,6.8
2016/01/02,林口,WD_HR,337,307,341,44,44,39,48,49,45,45,45,46,34,43,49,26,339,106,117,57,82,146,153,51
2016/01/02,林口,WIND_DIREC,320,309,8,56,45,44,51,51,48,49,46,40,30,46,49,330,298,135,93,40,120,168,164,313
2016/01/02,林口,WIND_SPEED,0.9,1.6,1.5,1.8,1.2,1.5,2.4,1.6,2.1,2.2,3.2,2.5,2.3,2.4,1.4,0.9,0.7,1.4,1.4,1.6,1.4,0.5,1.2,2
2016/01/02,林口,WS_HR,0.6,0.8,0.7,1.3,1.2,1.1,1.5,1.7,1.9,1.5,2.3,2.5,1.2,2,1.2,0.7,0.6,0.9,0.8,0.6,0.6,1.5,1,0.2
2016/01/03,林口,AMB_TEMP,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,19,18,18,18,18,18,18,19
2016/01/03,林口,CO,0.58,0.49,0.38,0.41,0.37,0.37,0.47,0.44,0.4,0.65,0.66,0.55,0.47,0.48,0.27,0.29,0.37,0.38,0.52,0.54,0.48,0.42,0.34,0.24
2016/01/03,林口,NO,3.8,1.5,1.5,1,1.1,1.1,1.6,2.7,3.5,11,9.5,5.5,5,4.7,2.9,2.9,2.8,2.6,4.1,5.6,3.5,2.3,1.7,1.3
2016/01/03,林口,NO2,19,14,5.7,12,8.5,6,13,15,15,24,25,21,18,21,11,12,17,17,30,32,29,24,17,9
2016/01/03,林口,NOx,23,16,7.2,13,9.6,7.1,15,17,19,35,35,26,23,26,14,15,20,19,34,37,32,26,19,10
2016/01/03,林口,O3,20,22,38,30,27,31,24,23,25,13,18,24,25,22,32,29,22,23,8.9,7.8,11,15,19,24
2016/01/03,林口,PM10,66,59,52,42,34,44,55,54,53,44,50,54,39,27,18,17,29,33,28,22,23,22,18,13
2016/01/03,林口,PM2.5,45,35,27,23,25,25,25,29,27,28,36,37,28,25,19,12,14,21,23,17,11,12,14,11
2016/01/03,林口,RAINFALL,NR,NR,1.2,NR,NR,0.2,0.6,1.6,1,NR,1,2,0.4,1.6,0.2,NR,NR,0.2,NR,0.4,1.6,1,NR,NR
2016/01/03,林口,RH,98,98,98,98,98,98,98,98,98,98,98,98,98,98,97,96,97,98,98,98,98,98,98,96
2016/01/03,林口,SO2,2.5,1.1,0.4,-0.2,-0.5,-0.8*,-0.8*,-0.3,-0.2,0.7,0.5,0.2,0.2,0.1,1,0.1,-0.2,0,2.2,3.6,2.2,1.8,1,0
2016/01/03,林口,WD_HR,26,315,313,122,13,94,136,348,103,134,137,50,70,82,74,76,54,62,127,130,132,121,127,130
2016/01/03,林口,WIND_DIREC,61,311,287,63,37,339,135,52,149,128,206,71,114,58,68,45,42,117,129,126,119,120,123,136
2016/01/03,林口,WIND_SPEED,0.7,1.7,0.6,1.1,0.8,0.6,1.5,0.8,2.1,1.4,0.9,1.5,0.9,1.7,1.5,1.2,1.2,1.6,2.5,3.4,2.4,2.6,3.2,2.7
2016/01/03,林口,WS_HR,0.2,0.9,0.8,0.9,0.6,0.3,1.3,0.4,0.8,2,1.5,1.1,0.7,1.1,1.3,1,1.3,1.3,2.2,2.9,2.8,2.4,2.8,2.6
2016/01/04,林口,AMB_TEMP,19,19,18,18,18,18,18,18,19,20,21,21,20,20#,20,20,20,20,20,20,20,20,20,20
2016/01/04,林口,CO,0.23,0.25,0.25,0.25,0.26,0.34,0.64,1.09,0.58,0.56,0.65,0.51,0.26,0.25#,0.29,0.26,0.6,0.75,0.9,1.08,1.32,1.11,1.06,0.78
2016/01/04,林口,NO,1.2,1.3,1,1,2.1,12,37,84,28,32,29,15,3,2.3#,2.7,2.9,30,22,30,40,51,29,26,15
2016/01/04,林口,NO2,7.7,8.7,8.7,11,15,24,27,30,20,25,32,28,12,13#,16,14,35,39,41,41,42,39,36,29
2016/01/04,林口,NOx,8.9,10,9.7,11,17,36,64,114,48,57,60,43,15,16#,19,17,64,62,71,81,93,68,62,43
2016/01/04,林口,O3,26,24,21,21,14,4.8,2.5,3,9.3,8.8,8.9,16,28,30#,26,27,10,4.6,2.6,2.5,2.5,2.4,2.4,2.4
2016/01/04,林口,PM10,11,16,14,11,11,13,22,29,26,33,55,72,67,50,48,52,54,59,66,76,78,63,53,53
2016/01/04,林口,PM2.5,7,9,9,9,10,12,14,17,20,26,32,39,37,27,25,32,37,35,38,45,46,40,35,29
2016/01/04,林口,RAINFALL,1.4,0.2,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0#,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/04,林口,RH,95,95,97,96,97,98,98,98,97,94,93,93,97,96#,97,98,96,95,95,96,97,97,96,96
2016/01/04,林口,SO2,1.7,1.4,1.4,1.5,1.4,2.2,4.8,5.9,6.5,7.3,7.8,7.4,6.7,3.8#,2.2,2.8,3.6,4.8,6.7,8.5,8.8,8.1,7.7,6.5
2016/01/04,林口,WD_HR,126,132,54,139,302,165,135,183,279,186,259,288,306,265#,276,302,129,139,139,137,134,139,137,140
2016/01/04,林口,WIND_DIREC,117,138,77,155,219,298,49,238,276,198,257,305,283,256,278,6.9,140,147,129,136,127,136,142,139
