日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,淡水,CO,0.44,0.43,0.38,0.34,0.33,0.31,0.31,0.35,0.36,0.3,0.29,0.3,0.3,0.31,0.33,0.36,0.42,0.51,0.5,0.46,0.65,0.84,0.71,0.75
2016/01/01,淡水,NO,0.6,0.8,0.8,0.9,1.1,1,1,1.3,1.8,1.5,1.4,1.1,1,1.3,1.5,1.8,1.8,2.7,2.2,2.1,5.5,12,5.9,6.9
2016/01/01,淡水,NO2,4.9,6.3,4.7,3.3,3.4,2.4,3.8,5.6,6.9,3.5,3.9,3.6,3.4,4.1,5.3,7.2,11,16,14,13,21,28,21,22
2016/01/01,淡水,NOx,5.5,7.1,5.5,4.2,4.5,3.4,4.8,6.9,8.7,5,5.3,4.7,4.5,5.4,6.8,9,13,19,17,16,26,40,27,29
2016/01/01,淡水,O3,50,46,46,45,44,44,41,39,38,39,40,40,40,41,41,39,35,30,30,28,16,7.8,14,9.9
2016/01/01,淡水,PM10,80,69,60,54,53,51,50,49,46,42,36,35,30,28,36,41,44,49,51,50,47,51,54,56
2016/01/01,淡水,PM2.5,48,38,36,35,31,31,29,28,29,25,21,20,25,25,22,27,28,25,27,31,31,27,27,28
2016/01/01,淡水,SO2,2.5,2.4,2.3,2.2,2.2,2,1.9,2.1,2,2.6,3.3,2.7,2.4,2.1,2,1.9,2.1,1.8,1.8,1.8,1.9,2.1,2.1,2.2
2016/01/01,淡水,UVB,0,0,0,0,0,0,0,0.3,0.9,2.2,3.3,3.5,4.2,3.6,2,0.9,0.2,0,0,0,0,0,0,0
2016/01/02,淡水,CO,0.55,0.33,0.35,0.32,0.3,0.3,0.32,0.39,0.37,0.35,0.39,0.4,0.44,0.45,0.44,0.45,0.52,0.7,0.78,0.85,0.61,0.74,0.81,0.7
2016/01/02,淡水,NO,2.7,0.9,1.1,0.8,0.8,1,1.2,1.8,2.1,1.7,1.8,2.2,1.9,1.9,1.5,1.5,1.6,2.7,2.8,7.3,2,4.2,4.1,7.5
2016/01/02,淡水,NO2,15,5,4.5,3.6,3.4,4.5,6,12,8.4,7.5,10,9.7,11,11,11,12,19,24,27,26,19,27,28,31
2016/01/02,淡水,NOx,18,5.9,5.6,4.4,4.3,5.6,7.2,13,10,9.2,12,12,13,13,13,13,20,27,29,33,21,31,32,39
2016/01/02,淡水,O3,11,30,33,40,39,37,36,28,34,35,31,34,36,38,40,39,31,23,15,11,16,6.9,4.2,3.9
2016/01/02,淡水,PM10,54,53,62,66,66,72,78,87,87,78,73,76,87,88,88,94,96,97,105,108,99,92,87,84
2016/01/02,淡水,PM2.5,26,27,28,26,30,31,31,33,31,32,33,36,41,43,41,44,48,50,54,53,51,54,46,41
2016/01/02,淡水,SO2,1.4,1.4,1.5,1.6,1.3,1.5,1.6,1.5,1.5,1.7,2,2.3,2.3,2.3,2.1,2.3,2.2,2.3,1.9,1.8,1.5,1.6,1.7,5.4
2016/01/02,淡水,UVB,0,0,0,0,0,0,0,0.2,0.6,0.9,1.1,1.4,1.3,1,0.6,0.4,0.1,0,0,0,0,0,0,0
2016/01/03,淡水,CO,0.91,0.85,0.77,0.64,0.67,0.68,0.61,0.67,0.47,0.54,0.55,0.49,0.4,0.45,0.41,0.45,0.49,0.45,0.6,0.65,0.86,0.7,0.75,0.72
2016/01/03,淡水,NO,13,12,7.5,2,3.5,4.1,2.4,5.3,1.6,2.3,2.6,2.8,2.3,1.7,2,3.6,2.3,1.7,1.3,6.3,24,14,17,14
2016/01/03,淡水,NO2,28,27,25,21,21,19,17,19,11,15,15,17,14,15,15,18,16,16,22,29,34,36,34,33
2016/01/03,淡水,NOx,41,38,32,23,25,24,20,24,13,17,18,20,17,17,17,22,19,18,23,36,59,50,51,47
2016/01/03,淡水,O3,2.9,3.2,3.3,6.2,5.6,4,7.3,11,20,19,21,21,26,21,24,18,20,15,9.5,4,2.4,2.2,2,2.1
