日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,潮州,AMB_TEMP,17,16,16,15,15,15,15,16,18,21,23,24,25,26,25,24,23,22,21,20,20,19,19,18
2016/01/01,潮州,CO,0.7,0.7,0.72,0.7,0.62,0.63,0.67,0.71,0.69,0.77,0.76,0.61,0.56,0.67,0.69,0.56,0.54,0.56,0.57,0.64,0.74,0.76,0.72,0.77
2016/01/01,潮州,NO,1.3,1.3,1.8,1.2,1.8,3.3,2,4.3,4.7,3.2,1.3,0.5,0.3,0.6,1,0.7,0.2,0.2,0.3,0.1,0.1,0.3,0.4,0.3
2016/01/01,潮州,NO2,22,21,21,20,19,17,18,15,16,16,16,13,12,15,24,19,18,18,18,15,16,18,20,18
2016/01/01,潮州,NOx,23,22,23,22,20,21,20,20,21,20,17,14,12,15,25,20,18,18,19,15,16,18,21,19
2016/01/01,潮州,O3,8.6,7.6,3.8,2.6,1.9,1.6,3.1,6.3,16,37,65,79,84,92,89,83,78,69,64,64,52,43,18,14
2016/01/01,潮州,PM10,150,144,131,119,112,107,100,95,92,96,115,119,123,105,121,116,121,107,117,119,127,124,120,117
2016/01/01,潮州,PM2.5,74,76,73,69,63,50,47,48,64,82,90,79,71,55,65,71,65,66,63,82,80,79,77,77
2016/01/01,潮州,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,潮州,RH,88,88,90,91,92,93,93,91,83,73,63,54,50,48,55,57,60,67,74,77,80,83,87,90
2016/01/01,潮州,SO2,1.7,1.9,1.9,1.8,1.6,1.6,1.6,1.9,2.7,6.2,8.6,5.8,7,10,14,8,6.5,5.6,4.1,3.3,2.7,2.9,2.1,1.9
2016/01/01,潮州,WD_HR,30,37,48,59,32,70,50,38,61,269,253,278,276,251,231,230,194,180,151,128,61,318,348,40
