日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,竹山,AMB_TEMP,14,14,14,14,14,14,14,14,17,20,22,23,24,24,24,24,23,20,19,18,17,17,17,17
2016/01/01,竹山,CO,0.71,0.66,0.63,0.55,0.56,0.53,0.63,0.75,0.74,0.6,0.4,0.44,0.51,0.51,0.53,0.52,0.47,0.5,0.53,0.57,0.51,0.51,0.54,0.55
2016/01/01,竹山,NO,6.1,2.8,6.9,4.8,7.6,8.5,14,17,15,6.3,2.3,1.4,1.1,0.9,0.8,0.7,0.6,0.7,0.9,1.3,1.1,0.6,2.1,0.9
2016/01/01,竹山,NO2,28,25,22,18,17,15,15,15,20,18,11,11,12,11,11,11,12,14,16,20,20,19,20,18
2016/01/01,竹山,NOx,35,28,29,23,24,24,28,31,35,24,13,13,13,12,12,12,12,15,17,21,21,20,22,19
2016/01/01,竹山,O3,1.5,2.6,1.2,1.2,1.2,1.2,1.3,3.3,8.3,20,40,50,72,84,86,87,67,45,33,22,17,16,10,9.9
2016/01/01,竹山,PM10,88,87,74,74,71,65,63,64,64,61,53,53,73,84,86,95,100,100,104,100,91,84,84,87
2016/01/01,竹山,PM2.5,60,55,46,44,44,44,40,36,35,34,28,30,45,53,52,49,44,49,56,53,47,39,43,50
2016/01/01,竹山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,竹山,RH,81,83,85,86,86,87,88,87,77,69,60,57,56,53,53,54,64,74,80,83,86,88,88,87
2016/01/01,竹山,SO2,4.2,3.1,2.8,2.6,2.6,2.9,2.8,3.3,8.7,4.1,3.2,3.5,3.6,4.3,5.6,5.4,4.2,3.8,3.5,3.1,3.4,3.3,4.3,3
2016/01/01,竹山,WD_HR,133,156,19,129,108,164,133,141,83,351,284,305,304,291,283,305,298,292,225,181,30,33,43,58
2016/01/01,竹山,WIND_DIREC,177,0.6,278,88,192,146,141,144,194,303,302,314,297,300,293,294,302,318,173,96,37,32,43,31
2016/01/01,竹山,WIND_SPEED,0.6,0.9,0.8,0.7,0.6,0.9,0.7,1,0.7,0.8,1.7,2.2,2.5,2,1.4,2.1,2,1.2,1.3,1.5,1,1.4,1.3,1
2016/01/01,竹山,WS_HR,0.5,0.2,0.1,0.5,0.4,0.3,0.5,0.8,0.2,0.2,0.6,1.4,2.2,2,1.4,1.5,1.9,1.4,0.6,1,1.1,0.9,1.3,0.7
2016/01/02,竹山,AMB_TEMP,17,16,16,16,16,16,16,16,17,18,20,22,23,22,21,20,19,19,19,18,18,18,18,18
2016/01/02,竹山,CO,0.5,0.49,0.47,0.46,0.42,0.43,0.43,0.47,0.49,0.42,0.43,0.42,0.41,0.48,0.55,0.61,0.67,0.71,0.68,0.5,0.67,0.71,0.72,0.72
2016/01/02,竹山,NO,0.4,0.8,0.9,0.2,0.4,0.7,0.7,1.2,2.5,1.9,2.4,1.6,1,0.3,0.8,1.2,2.2,2.5,4.4,2.1,3.6,3.3,5.9,5.6
2016/01/02,竹山,NO2,14,11,9.2,9.4,7.9,8.1,8.7,10,10,9.5,11,10,10,12,18,23,25,27,21,16,23,27,30,28
2016/01/02,竹山,NOx,14,12,10,9.6,8.3,8.8,9.3,11,13,11,13,12,11,12,19,25,27,30,25,18,27,30,36,34
2016/01/02,竹山,O3,16,16,18,16,18,19,17,14,16,20,24,32,39,41,33,25,14,6.5,5.2,4.4,2,1.6,1,1.1
2016/01/02,竹山,PM10,92,93,79,73,66,61,59,54,53,55,54,54,57,61,74,89,92,90,81,64,76,109,126,127
2016/01/02,竹山,PM2.5,50,50,47,45,44,43,39,37,37,33,30,31,32,36,47,56,58,56,47,38,44,63,71,65
2016/01/02,竹山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,0.2,NR,NR,NR,NR,NR,NR,0.2
2016/01/02,竹山,RH,88,90,91,90,89,87,88,89,84,79,72,67,60,69,79,83,89,91,92,92,93,93,94,94
2016/01/02,竹山,SO2,2,1.9,1.9,1.6,1.6,1.7,1.6,2,2.3,2,2.7,2.3,2.2,2.7,3.1,2.9,2.3,2.4,2.5,2.1,2.7,2.4,2.6,2.5
2016/01/02,竹山,WD_HR,62,46,78,146,160,73,36,65,120,326,336,8.8,326,277,13,39,36,232,139,240,129,236,306,349
2016/01/02,竹山,WIND_DIREC,44,41,132,165,135,69,47,67,328,239,41,86,296,335,45,30,44,317,176,13,184,235,330,309
2016/01/02,竹山,WIND_SPEED,2,1.7,1.7,1.5,1.3,0.8,1.1,1.1,1.2,0.9,1.4,1.1,1.6,1,1.2,1.2,1,0.9,1,0.9,1,0.7,1,0.8
2016/01/02,竹山,WS_HR,1.2,1.5,0.9,1,1.3,1,1.1,1.1,0.4,0.4,0.6,0.6,0.8,1,1,0.8,0.9,0.9,0.9,0.8,0.4,0.9,0.2,0.7
2016/01/03,竹山,AMB_TEMP,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2016/01/03,竹山,CO,0.69,0.62,0.58,0.57,0.57,0.55,0.56,0.56,0.48,0.47,0.53,0.54,0.55,0.39,0.42,0.48,0.5,0.4,0.49,0.47,0.53,0.5,0.37,0.4
2016/01/03,竹山,NO,5.2,2.6,2.2,2.1,2.6,2,2.9,4.9,5.3,5.4,7.4,8,14,5.4,7.1,11,11,2.6,4.4,9.3,4.6,7.8,3.4,5.9
2016/01/03,竹山,NO2,25,20,18,21,20,19,18,18,12,14,15,15,15,13,14,16,16,15,19,19,24,22,17,17
2016/01/03,竹山,NOx,30,22,20,23,22,21,21,22,18,19,23,23,30,19,21,27,27,18,23,29,28,29,20,22
2016/01/03,竹山,O3,1,2,1.7,2,1.7,2.1,1.9,3,4.5,5.5,3.5,2.9,3.4,5.8,5.7,2.9,2,6.5,4.9,1.5,1.2,1.4,1.7,1.1
2016/01/03,竹山,PM10,114,88,75,75,75,70,61,51,44,35,31,30,28,23,14,13,17,16,12,12,16,17,11,7
2016/01/03,竹山,PM2.5,53,47,45,44,42,37,34,29,21,17,20,22,17,10,7,6,8,9,11,11,10,10,5,1
2016/01/03,竹山,RAINFALL,1,NR,NR,NR,NR,0.6,3.8,1.4,NR,0.4,2,7.4,5,3,1,4.2,3.2,2.4,1,0.2,1.2,0.4,0.8,6.6
2016/01/03,竹山,RH,95,95,95,94,94,94,95,95,95,95,94,95,96,96,96,96,96,96,96,96,96,97,96,96
2016/01/03,竹山,SO2,1.4,1.8,1.9,2.2,1.9,2.2,1.7,1.9,1.8,1.7,2,1.6,2,1.9,1.8,2.2,1.9,1.6,1.8,1.7,1.7,2.1,1.7,1.5
2016/01/03,竹山,WD_HR,22,59,50,15,34,38,53,49,288,70,254,26,52,357,58,174,319,292,61,350,216,38,23,130
2016/01/03,竹山,WIND_DIREC,353,122,55,33,6.9,43,5.2,9.5,229,125,329,86,28,98,329,228,314,37,106,300,116,31,39,103
2016/01/03,竹山,WIND_SPEED,1.2,0.7,1.8,1.6,1.5,2.3,1.8,1.1,0.6,1,0.8,1.4,1.7,1,0.8,0.9,1.3,0.9,1,1.8,1.2,1.1,1.7,1
2016/01/03,竹山,WS_HR,0.8,0.5,1.2,0.9,0.8,1.4,0.9,0.6,0.3,0.4,0.5,0.6,1,0.7,0.7,0.2,0.5,1,0.7,0.7,0.1,1.1,0.7,0.4
2016/01/04,竹山,AMB_TEMP,19,19,19,19,19,19,19,20,20,22,21,22,23,23,23,24,24,23,23,22,22,22,21,21
2016/01/04,竹山,CO,0.39,0.23,0.27,0.17,0.22,0.37,0.3,0.5,0.28,0.41,0.54,0.6,0.5,0.49,0.5,0.54,0.54,0.64,0.73,0.87,0.77,0.94,0.93,0.77
2016/01/04,竹山,NO,6,0.9,0.8,1.3,1.7,3,3.5,12,6.4,11,16,17,14,9.7,6.1,6.2,3.4,5.8,3.2,7.8,6,20,20,22
2016/01/04,竹山,NO2,15,10,12,7.8,9.7,18,15,15,9.4,12,22,21,20,24,25,23,22,26,29,31,36,21,27,15
2016/01/04,竹山,NOx,21,11,13,9.1,11,21,18,26,16,23,38,38,33,33,31,29,25,32,33,39,43,42,47,37
2016/01/04,竹山,O3,1.6,7.3,4.8,8.4,5.5,2.3,3.6,3.3,6.6,7.1,6.7,5.8,5.4,9,13,14,12,3.8,9,3.2,1.6,0.9,1,1.1
2016/01/04,竹山,PM10,9,10,8,8,10,15,19,18,15,14,40,59,59,64,65,62,54,46,63,85,99,92,88,79
2016/01/04,竹山,PM2.5,2,1,2,4,3,5,5,4,8,11,21,36,37,33,34,34,26,18,29,45,49,42,40,35
2016/01/04,竹山,RAINFALL,4.4,3.6,NR,NR,NR,NR,0.2,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/04,竹山,RH,97,97,97,97,97,97,97,97,97,92,91,87,87,87,87,83,84,86,88,91,92,93,94,94
