日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,線西,AMB_TEMP,16,16,16,16,16,16,16,16,17,19,20,21,21,22,22,21,20,19,19,19,19,19,19,19
2016/01/01,線西,CH4,2,2,2,2,2,2,2,2,2,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2016/01/01,線西,CO,0.6,0.56,0.53,0.52,0.49,0.5,0.47,0.51,0.45,0.7,0.86,0.51,0.4,0.68,0.43,0.61,0.41,0.44,0.68,0.62,0.69,0.58,0.44,0.4
2016/01/01,線西,NMHC,0.19,0.13,0.16,0.12,0.12,0.1,0.11,0.19,0.1,0.13,0.17,0.06,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.04,0.04
2016/01/01,線西,NO,0.9,1.3,1.3,1.1,0.9,1.3,3.3,2.9,5.7,11,11,3.4,1.7,1.7,1.9,2,1.4,0.9,0.9,0.9,0.9,1.1,0.7,1.1
2016/01/01,線西,NO2,15,23,20,26,26,29,33,21,20,27,32,16,8.9,12,11,12,11,11,14,12,12,8.1,5.9,5.5
2016/01/01,線西,NOx,16,24,21,28,27,30,36,24,26,38,43,19,11,14,13,14,13,12,15,13,12,9.2,6.6,6.6
2016/01/01,線西,O3,38,29,28,22,20,17,12,22,26,25,34,44,54,52,49,44,42,41,36,38,38,41,43,42
2016/01/01,線西,PM10,87,81,76,79,73,61,58,63,57,61,143,145,74,69,68,74,84,82,83,93,102,102,100,99
2016/01/01,線西,PM2.5,62,59,56,57,52,47,46,42,44,41,89,87,33,31,27,30,32,34,38,41,43,42,46,47
2016/01/01,線西,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,線西,RH,74,76,77,77,78,79,80,80,75,71,71,70,73,72,75,77,81,83,84,84,85,86,86,87
2016/01/01,線西,SO2,5.3,8.2,8.2,11,8,8.2,8.8,5.9,5.5,11,18,9.1,4.7,7.7,6.2,6.6,5.9,5.9,6.9,7.6,7,4,2.7,2.1
2016/01/01,線西,THC,2.2,2.1,2.2,2.1,2.1,2.1,2.1,2.2,2.1,2.1,2.2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2016/01/01,線西,WD_HR,40,41,40,40,39,39,40,42,40,43,70,65,84,47,75,57,60,47,44,48,46,41,41,41
2016/01/01,線西,WIND_DIREC,43,41,38,39,43,39,49,41,42,36,68,107,53,43,92,61,62,46,52,50,43,42,43,44
2016/01/01,線西,WIND_SPEED,2.3,3.1,2.7,2.9,2.6,3.3,2.5,3.1,4,3,3.3,5.5,5.7,5.1,5.6,5.2,6.3,6.4,5.8,6.3,5.9,4.9,4.2,4
2016/01/01,線西,WS_HR,2.8,2.9,2.6,2.4,2.6,2.6,2.7,2.5,3.7,2.6,1.3,2.3,2.1,4.6,2.7,4,4,5.2,5.4,4.5,4.9,5,4.5,4.5
2016/01/02,線西,AMB_TEMP,19,19,19,19,19,19,19,19,20,20,21,21,21,21,20,20,20,19,19,19,19,19,19,19
2016/01/02,線西,CH4,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2016/01/02,線西,CO,0.39,0.38,0.37,0.36,0.34,0.36,0.36,0.37,0.35,0.41,0.56,0.46,0.41,0.5,0.42,0.43,0.44,0.43,0.44,0.58,0.46,0.4,0.39,0.38
