日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,臺南,AMB_TEMP,16,16,16,15,15,15,15,16,17,19,21,23,24,24,24,24,22,20,20,19,18,18,18,18
2016/01/01,臺南,CH4,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.1,2.1,2.1,2,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2016/01/01,臺南,CO,0.65,0.7,0.69,0.69,0.78,0.76,0.82,0.98,1.06,1.02,1,0.85,0.72,0.6,0.56,0.6,0.59,0.72,0.63,0.58,0.52,0.51,0.57,0.54
2016/01/01,臺南,NMHC,0.21,0.23,0.21,0.19,0.22,0.24,0.29,0.31,0.37,0.39,0.36,0.28,0.2,0.16,0.15,0.16,0.17,0.22,0.17,0.14,0.12,0.12,0.12,0.1
2016/01/01,臺南,NO,1,1.1,1,0.3,0.7,0.8,6.2,9.7,15,12,6.1,3.6,1.6,1.4,1.2,1.2,0.9,0.9,0.7,0.7,0.7,0.8,0.8,0.7
2016/01/01,臺南,NO2,21,30,30,20,21,25,34,31,32,33,30,26,17,16,15,15,16,21,20,17,15,15,17,14
2016/01/01,臺南,NOx,22,31,31,20,22,25,41,41,47,45,36,30,19,18,16,16,17,22,21,18,16,16,18,14
2016/01/01,臺南,O3,19,12,11,20,17,13,4.4,7.1,13,23,43,62,77,67,70,63,54,41,37,35,32,29,24,27
2016/01/01,臺南,PM10,94,90,104,110,113,114,108,101,90,101,113,122,121,113,104,98,95,85,85,90,94,82,76,77
2016/01/01,臺南,PM2.5,68,71,69,71,75,79,84,85,85,95,101,111,92,79,61,51,39,36,40,43,51,46,46,42
2016/01/01,臺南,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,臺南,RH,71,71,72,73,74,74,74,73,69,63,58,55,53,55,55,60,67,75,76,79,81,83,84,85
2016/01/01,臺南,SO2,4.5,5,4.4,4.8,4.6,4.7,6,5.4,6.7,6.2,4.8,4.9,4.6,5.8,5.3,4,3.5,3.6,3.4,3.3,3.1,3,3.8,3.1
2016/01/01,臺南,THC,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.5,2.5,2.5,2.5,2.3,2.2,2.1,2.1,2,2.1,2.1,2.1,2.1,2,2,2,2
2016/01/01,臺南,WD_HR,45,43,36,38,38,42,39,43,43,46,16,12,317,313,356,321,307,319,56,57,53,51,52,51
2016/01/01,臺南,WIND_DIREC,40,42,41,36,37,40,41,38,44,22,87,356,306,335,18,308,302,23,51,41,57,47,49,48
2016/01/01,臺南,WIND_SPEED,2.1,1.9,1.9,1.9,2.2,1.9,1.5,1.9,1.8,2,1.3,2,2.2,2.5,3,2.9,2.9,2.9,2.7,2.7,3.3,3.2,3.3,2.7
2016/01/01,臺南,WS_HR,1.8,1.8,0.9,0.7,1.5,1.5,1.5,1.2,1.3,1.4,0.7,1,1,2,1,1.2,2,0.9,1.2,0.9,1.7,1.5,1.6,1.6
2016/01/02,臺南,AMB_TEMP,18,18,18,18,18,18,18,18,19,20,21,21,21,21,21,21,20,20,19,19,19,19,19,19
2016/01/02,臺南,CH4,1.9,1.9,1.9,1.9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.9,1.9,2,2.1
2016/01/02,臺南,CO,0.51,0.48,0.46,0.46,0.51,0.53,0.57,0.61,0.66,0.69,0.65,0.67,0.71,0.76,0.76,0.86,0.85,0.94,0.85,0.71,0.63,0.6,0.71,0.62
2016/01/02,臺南,NMHC,0.1,0.1,0.1,0.1,0.1,0.12,0.17,0.18,0.2,0.22,0.22,0.22,0.22,0.23,0.25,0.27,0.25,0.31,0.28,0.21,0.2,0.18,0.21,0.17
2016/01/02,臺南,NO,0.7,0.8,0.7,0.8,0.4,0.6,0.7,1.1,3.8,8.5,5.5,3.9,2.5,3.6,4.4,3.2,2.5,3,3.1,1.8,1.1,0.8,1.3,1.2
2016/01/02,臺南,NO2,13,14,14,14,13,17,19,15,18,20,18,20,19,27,29,32,30,33,30,26,23,23,27,25
2016/01/02,臺南,NOx,13,15,15,15,14,17,20,17,22,28,24,24,22,31,34,35,33,36,33,28,24,23,28,26
2016/01/02,臺南,O3,27,24,24,23,24,18,13,16,16,18,27,26,26,19,21,19,16,9,9.8,13,16,17,9.1,8.5
2016/01/02,臺南,PM10,86,82,79,80,82,94,96,104,107,111,106,100,85,81,80,97,98,89,80,74,82,78,75,61
2016/01/02,臺南,PM2.5,48,52,60,63,67,62,65,69,76,80,87,84,75,64,64,69,65,60,52,50,46,47,51,53
2016/01/02,臺南,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.2,NR,0.4,1.2,0.6,NR,0.2,0.2,0.2,0.2,0.6
2016/01/02,臺南,RH,85,85,86,87,87,86,86,85,82,77,71,71,74,75,75,78,85,89,90,90,90,90,90,90
2016/01/02,臺南,SO2,1.6,3.1,2.6,2.9,2.7,2.7,3,2.7,2.8,3.4,3.3,3.3,4.2,5.7,4.8,4.4,3.9,3.6,3.5,3.7,4.4,4.5,4.6,3.8
2016/01/02,臺南,THC,2,2,2,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.2,2.1,2.1,2.2,2.2
2016/01/02,臺南,WD_HR,51,45,44,50,49,46,48,47,53,47,45,0.8,31,50,48,29,7.9,3.7,351,22,40,40,42,44
2016/01/02,臺南,WIND_DIREC,53,52,45,53,41,45,49,51,56,36,44,320,51,48,41,324,46,337,61,335,26,45,39,17
2016/01/02,臺南,WIND_SPEED,2.6,2.6,3.1,2.2,2.6,2.6,2.4,2.4,2.7,2.5,2.7,2,1.9,2.8,1.6,1.7,2.3,1.5,1.9,1.6,1.2,1.7,1.7,1.4
2016/01/02,臺南,WS_HR,1.5,1.4,1.7,2,2.2,2.4,1.4,1.1,2.2,2.1,1.7,0.8,0.9,2.2,1.3,0.7,0.9,0.6,0.7,0.6,0.7,1.2,1.2,0.9
2016/01/03,臺南,AMB_TEMP,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20
