日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,臺西,AMB_TEMP,16,15,16,16,16,16,16,16,18,19,20,20,20,20,20,19,19,18,18,18,18,18,18,18
2016/01/01,臺西,CH4,2,2.1,2,2,2,2,2,2,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9
2016/01/01,臺西,CO,0.7,0.84,0.68,0.54,0.53,0.48,0.48,0.43,0.38,0.38,0.35,0.35,0.32,0.3,0.29,0.31,0.31,0.3,0.3,0.32,0.34,0.36,0.37,0.39
2016/01/01,臺西,NMHC,0.1,0.12,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.06,0.05,0.04,0.03,0.02,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
2016/01/01,臺西,NO,0.6,0.5,0.3,1.2,0.8,1,1,1.2,1.4,1.7,1.7,1.3,1.2,1,1.1,1.1,1,0.8,0.9,1,0.7,0.9,0.8,1
2016/01/01,臺西,NO2,18,25,18,11,11,10,11,8.9,7.3,7.6,7.1,6.1,5.3,4.5,4.7,5.5,5.4,4.7,5,5.4,5.8,4.7,4.8,4.7
2016/01/01,臺西,NOx,19,26,19,13,12,11,12,10,8.7,9.3,8.8,7.4,6.5,5.5,5.8,6.5,6.3,5.5,5.9,6.4,6.5,5.6,5.5,5.7
2016/01/01,臺西,O3,37,25,34,37,37,37,36,39,42,44,48,56,61,60,59,56,53,52,49,47,46,46,46,45
2016/01/01,臺西,PM10,104,105,102,93,86,78,74,71,69,66,61,53,51,52,52,56,57,53,57,66,72,74,75,79
2016/01/01,臺西,PM2.5,70,77,76,70,63,54,51,48,43,38,36,40,37,29,32,34,32,27,25,30,38,44,49,46
2016/01/01,臺西,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,臺西,RH,76,78,79,79,80,80,81,80,80,77,76,74,75,76,78,80,81,82,83,84,84,84,85,85
2016/01/01,臺西,SO2,6.4,9,5.7,3.8,3.1,3,3,2.6,2.7,2.9,2.8,3.1,2.6,2.5,2.6,2.8,2.4,2.2,2.4,2.4,2.5,2.2,2.1,2.2
2016/01/01,臺西,THC,2.1,2.2,2.1,2.1,2.1,2.1,2.1,2,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2016/01/01,臺西,WD_HR,34,31,30,38,33,34,30,33,32,30,26,27,28,33,37,36,32,27,26,31,28,27,27,28
2016/01/01,臺西,WIND_DIREC,29,27,29,41,31,32,27,32,32,27,25,25,26,30,54,41,29,27,27,45,29,28,27,28
2016/01/01,臺西,WIND_SPEED,2.8,3.6,4.6,3.4,4.7,4,4.6,3.9,5.3,6.5,6.7,9.5,8.8,8.9,9,9.3,9.2,8.4,9.6,9.5,8.2,7.2,7.6,6.7
2016/01/01,臺西,WS_HR,4,3,4.2,4,3.7,4.1,4.2,4,4.5,5.8,5.7,7,8.1,6.9,6.9,7.2,7.8,8.1,8.5,7.3,8,7.1,6.7,6.3
2016/01/02,臺西,AMB_TEMP,18,18,18,18,,,,,19#,20,20,20,20,19,19,19,19,19,19,19,19,19,18,18
2016/01/02,臺西,CH4,1.9,1.9,1.9,1.9,,,,,1.9#,1.9,1.9,1.9,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2
2016/01/02,臺西,CO,0.41,0.42,0.45,0.39,,,,,0.5#,0.35,0.3,0.31,0.31,0.32,0.34,0.33,0.34,0.36,0.37,0.35,0.38,0.35,0.34,0.33
2016/01/02,臺西,NMHC,0.03,0.03,0.02,0.02,,,,,0.06#,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.09,0.13,0.07,0.09,0.03,0.03
2016/01/02,臺西,NO,0.7,0.8,0.8,1.3,,,,,3.6#,2.4,1.6,1.6,1.3,1.3,1.3,1.3,1.2,1.1,1.1,1.1,9.4,1.2,1.2,1.2
2016/01/02,臺西,NO2,5.1,6.4,8.6,6.7,,,,,14#,9,5.5,5.7,6.1,7,8.3,7.4,7.1,8.5,12,11,32,9.5,7.5,6.3
2016/01/02,臺西,NOx,5.8,7.2,9.3,8,,,,,17#,11,7.1,7.3,7.4,8.2,9.7,8.7,8.4,9.6,13,12,42,11,8.7,7.5
2016/01/02,臺西,O3,44,42,38,41,,,,,24#,37,45,46,46,43,42,43,44,42,39,38,18,35,38,37
2016/01/02,臺西,PM10,84,87,89,83,,,,,72,63,58,53,55,60,62,66,67,65,65,68,66,67,66,58
2016/01/02,臺西,PM2.5,43,46,51,52,,,,,51,49,48,45,41,39,41,42,40,43,42,46,49,49,53,49
2016/01/02,臺西,RAINFALL,NR,NR,NR,NR,,,,,0#,NR,NR,NR,NR,0.2,0.2,NR,NR,NR,NR,NR,NR,NR,NR,0.6
2016/01/02,臺西,RH,85,85,85,85,,,,,82#,80,79,80,81,85,86,87,87,87,88,87,88,88,89,89
2016/01/02,臺西,SO2,2.7,2.5,3.8,2.2,,,,,4.4#,2.9,1.5,1.8,1.9,2.2,2.6,2,2,2.2,3.7,4.7,13,2.6,2.1,1.9
2016/01/02,臺西,THC,1.9,1.9,1.9,1.9,,,,,2#,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2,1.9,2,2,2
2016/01/02,臺西,WD_HR,27,29,26,28,,,,,38#,28,28,29,35,26,30,28,27,24,30,55,45,38,37,42
2016/01/02,臺西,WIND_DIREC,32,30,26,30,,,,,40,26,28,40,22,25,33,31,28,17,32,87,35,34,33,53
2016/01/02,臺西,WIND_SPEED,5.8,5.2,5.6,5.2,,,,,3.6,7.1,6.6,7,5.6,4,5.2,4.6,4.9,2.9,3.6,4.5,2.4,3.1,2.8,3.3
2016/01/02,臺西,WS_HR,6.1,5.6,4.9,4.6,,,,,3.9#,4.8,6.4,5.9,4.2,4.4,4.5,4.9,4.5,3.3,1.1,1.5,0.9,2.2,3.1,2.6
2016/01/03,臺西,AMB_TEMP,18,18,18,19,19,19,19,19,19,19,20,17,16,20,20,20,20,19,19,19,19,19,19,20
2016/01/03,臺西,CH4,1.9,1.9,1.9,2,1.9,1.8,1.9,1.9,1.9,1.9,2,2.1,1.9,2,2,2,1.9,1.9,2,1.9,1.9,2,2,2.2
2016/01/03,臺西,CO,0.32,0.29,0.27,0.29,0.29,0.33,0.34,0.34,0.36,0.38,0.43,0.45,0.36,0.27,0.38,0.34,0.32,0.33,0.32,0.3,0.3,0.31,0.33,0.38
2016/01/03,臺西,NMHC,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.05,0.07,0.07,0.11,0.13,0.09,0.06,0.16,0.08,0.07,0.07,0.06,0.1,0.06,0.05,0.06,0.07
2016/01/03,臺西,NO,1,1.1,1.1,0.6,0.5,0.7,0.6,0.7,1.2,2,2.3,2.2,3.6,1.8,2.8,2.5,1.1,0.9,0.5,0.7,0.8,0.6,0.6,0.9
2016/01/03,臺西,NO2,5.9,5.2,4.5,5.1,5.5,6,5.2,6.8,9.1,14,15,14,13,10,16,14,11,10,9.7,8.6,7.6,6.5,7.6,12
2016/01/03,臺西,NOx,7,6.3,5.6,5.7,6,6.7,5.8,7.5,10,16,18,16,16,12,18,17,12,11,10,9.3,8.3,7.1,8.2,13
2016/01/03,臺西,O3,38,41,38,35,35,34,35,29,27,24,19,18,21,26,23,26,30,31,33,33,35,32,25,15
2016/01/03,臺西,PM10,54,41,28,30,32,39,39,37,40,37,38,0#,1000x,23,36,44,35,28,32,35,31,33,40,43
2016/01/03,臺西,PM2.5,37,28,22,22,25,27,26,26,30,34,31,1#,511x,19,28,36,30,22,21,22,21,23,27,38
2016/01/03,臺西,RAINFALL,0.8,NR,NR,NR,1,5.8,1.8,0.4,NR,0.4,1,0.6,1.2,0.6,0.2,0.2,3,0.8,1.6,1.4,NR,NR,NR,NR
2016/01/03,臺西,RH,89,90,90,90,91,91,91,91,91,91,91,86,83,91,91,91,91,91,92,92,92,92,92,92
2016/01/03,臺西,SO2,1,1,1.1,1.6,1.9,2.1,1.4,1.8,2.2,2.4,2.4,1.9,0.1,1.3,2,1.7,1.3,1.5,1.3,1.6,1.2,1.1,0.9,1.3
2016/01/03,臺西,THC,2,1.9,2,2,1.9,1.9,1.9,1.9,1.9,2,2.1,2.2,2,2.1,2.1,2,2,2,2,2,2,2,2.1,2.2
2016/01/03,臺西,WD_HR,26,35,48,36,32,28,30,32,25,42,21,75,73,38,37,37,24,30,28,24,32,40,43,42
2016/01/03,臺西,WIND_DIREC,26,47,45,37,33,30,39,28,28,87,343,69,62,36,56,21,30,31,27,29,40,38,53,336
2016/01/03,臺西,WIND_SPEED,4.2,4,2.3,4.4,4,4.4,3.9,4.8,4.5,1.6,1.4,3.8,2.9,2.7,2.5,2.7,2.6,3.9,3.3,3.2,4.5,2.6,2,1.9
2016/01/03,臺西,WS_HR,2.6,3.6,2.9,3.2,3.6,4.4,4.5,3.1,4.3,2.8,0.9,1.6,2.3,2.1,1.9,1.9,2,3.4,3.2,2.7,3.8,2.5,2.6,1.3
2016/01/04,臺西,AMB_TEMP,20,20,20,19,19,19,19,20,20,20,21,22,22,21,22,22,22,21,20,20,21,21,21,21
2016/01/04,臺西,CH4,2.2,2.1,1.9,1.9,1.9,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.1,2.2,2.1,2.2,2.5,3.1
2016/01/04,臺西,CO,0.44,0.46,0.34,0.33,0.34,0.31,0.35,0.47,0.35,0.3,0.29,0.3,0.32,0.31,0.27,0.29,0.33,0.35,0.36,0.35,0.35,0.4,0.44,0.4
2016/01/04,臺西,NMHC,0.07,0.08,0.15,0.17,0.07,0.06,0.07,0.09,0.12,0.1,0.05,0.04,0.12,0.05,0.03,0.03,0.1,0.09,0.08,0.08,0.05,0.07,0.08,0.07
2016/01/04,臺西,NO,0.8,0.8,1.5,1.3,1.3,1.2,1.3,2.7,4.2,3.9,3.7,4.3,4.9,3,2.4,2.3,2.1,1.3,1.1,1.2,1.3,1.6,1.7,1.4
2016/01/04,臺西,NO2,12,19,19,16,13,12,14,15,13,12,9.1,10,13,9.5,6.6,7.8,12,11,12,11,9.2,13,16,11
2016/01/04,臺西,NOx,13,20,21,17,14,13,16,18,17,15,13,15,18,12,9,10,14,12,13,12,10,15,18,12
2016/01/04,臺西,O3,12,7.6,12,13,17,16,12,14,19,24,26,25,33,36,41,42,38,38,30,29,30,20,12,16
2016/01/04,臺西,PM10,40,42,44,47,52,52,60,67,61,51,43,47,54,56,55,51,55,59,63,70,73,69,76,81
2016/01/04,臺西,PM2.5,36,29,30,31,34,31,35,36,36,38,40,44,48,53,47,40,41,48,54,56,59,56,57,61
2016/01/04,臺西,RAINFALL,NR,NR,0.2,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/04,臺西,RH,92,92,92,92,92,92,92,93,92,92,89,87,86,86,84,83,85,87,88,89,89,88,88,89
