日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,萬華,AMB_TEMP,18,17,18,18,17,18,18,18,19,19,20,20,21,22,22,22,22,22,22,21,21,21,21,20
2016/01/01,萬華,CO,0.57,0.57,0.48,0.42,0.38,0.37,0.39,0.44,0.49,0.46,0.44,0.41,0.41,0.41,0.43,0.44,0.47,0.58,0.69,0.77,0.76,0.76,0.97,1.22
2016/01/01,萬華,NO,1.6,1.6,1.5,1.2,1,0.7,1,3.1,6.2,7.6,7.4,6,5.6,5.5,6.1,5.9,6,8.2,11,16,16,12,17,27
2016/01/01,萬華,NO2,15,16,13,10,8.9,9.8,14,20,25,22,19,19,17,17,20,21,26,35,40,43,44,42,42,36
2016/01/01,萬華,NOx,17,17,15,11,9.9,11,15,23,31,30,27,25,23,22,26,27,32,43,51,58,60,54,59,62
2016/01/01,萬華,O3,44,41,42,43,43,41,34,28,23,27,31,32,35,36,33,31,24,15,9.4,6.2,4.5,5.6,2.7,1.6
2016/01/01,萬華,PM10,96,88,80,71,66,56,64,56,64,53,53,46,49,60,70,70,65,56,59,52,48,42,42,42
2016/01/01,萬華,PM2.5,57,52,42,45,39,28,25,25,31,26,21,18,21,25,31,29,28,30,29,29,21,23,22,21
2016/01/01,萬華,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,萬華,RH,67,71,71,70,74,75,75,73,72,72,72,72,71,70,70,72,75,78,79,80,80,82,83,83
2016/01/01,萬華,SO2,3.3,2.6,2.2,2.4,2.2,2.4,2.1,2.3,2.2,2.3,2.2,2,2.1,2.4,3.5,5,9.4,13,9.1,5.8,8.5,8.4,8.7,4
2016/01/01,萬華,WD_HR,101,106,102,102,101,104,105,101,103,95,99,89,94,94,93,101,96,100,101,104,104,113,145,177
2016/01/01,萬華,WIND_DIREC,101,108,99,103,101,100,108,106,102,93,102,89,95,92,104,100,101,108,102,105,110,125,170,181
2016/01/01,萬華,WIND_SPEED,3.1,2.5,3.3,3.6,3.2,3.4,2.4,2.6,3.4,4,3.7,3.9,3.8,3.6,3.7,4.5,3.4,2.4,2.2,2.2,2.1,1.4,1.2,1.1
2016/01/01,萬華,WS_HR,3,2.8,2.6,3.2,2.9,2.9,2.4,2.7,2.5,3.5,3.8,3.5,3.9,3.9,3.4,3.5,3.2,2.7,2.3,2,1.8,1.7,1.2,1.1
2016/01/02,萬華,AMB_TEMP,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,21,21,21,21,20,20,20,20,20
