日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,西屯,AMB_TEMP,16,16,16,15,15,15,15,16,17,20,22,23,23,24,24,23,21,20,19,19,19,19,19,19
2016/01/01,西屯,CH4,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8
2016/01/01,西屯,CO,0.47,0.47,0.46,0.5,0.43,0.44,0.47,0.6,0.61,0.73,0.69,0.46,0.34,0.29,0.28,0.34,0.25,0.27,0.29,0.31,0.32,0.34,0.35,0.34
2016/01/01,西屯,NMHC,0.13,0.14,0.12,0.15,0.15,0.15,0.16,0.21,0.23,0.26,0.3,0.18,0.09,0.08,0.08,0.1,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.09
2016/01/01,西屯,NO,0.7,0.8,0.9,1.1,1.1,1.1,1.1,5.5,16,28,19,5.9,2.5,2.1,1.9,2.4,1.8,1.3,1.2,0.8,0.8,0.9,1.1,0.9
2016/01/01,西屯,NO2,15,18,13,14,15,16,18,22,24,34,35,20,13,13,12,15,13,15,13,13,11,11,13,12
2016/01/01,西屯,NOx,15,18,13,15,16,17,19,27,40,62,54,26,15,15,14,17,15,16,14,14,12,12,14,13
2016/01/01,西屯,O3,31,22,32,27,22,22,20,15,13,13,24,44,57,61,59,53,44,39,38,36,36,32,28,28
2016/01/01,西屯,PH_RAIN,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x
2016/01/01,西屯,PM10,69,71,66,55,43,41,45,51,52,55,55,61,68,68,68,75,82,89,82,78,82,79,76,65
2016/01/01,西屯,PM2.5,36,38,37,38,35,33,33,28,30,30,39,40,38,32,30,36,37,33,32,28,33,33,37,39
2016/01/01,西屯,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,西屯,RAIN_COND,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x
2016/01/01,西屯,RH,73,76,76,78,79,80,81,81,77,70,63,60,59,60,63,68,75,80,83,85,86,86,86,86
2016/01/01,西屯,SO2,3.3,2.4,2.7,2.8,2.9,2.6,2.3,2.1,2.4,2.8,3.8,3.7,3,2.9,2.7,3.6,2.2,2.2,2.2,1.8,1.8,2.1,2.3,2.2
2016/01/01,西屯,THC,1.9,2,2,2,2,2,2,2.1,2.1,2.2,2.2,2,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9
2016/01/01,西屯,WD_HR,38,18,37,41,41,46,49,48,85,179,235,300,308,337,322,305,305,296,25,333,40,46,23,315
2016/01/01,西屯,WIND_DIREC,39,15,36,45,37,50,43,50,236,187,294,309,303,311,23,308,304,278,320,304,57,25,7.7,335
2016/01/01,西屯,WIND_SPEED,1.8,1.1,1.8,1.5,1.6,1.2,1.7,1.7,0.8,1.1,1.8,2.7,3.5,3.3,3.4,4.4,4.3,3.6,3.5,4.7,3.9,3.2,3.2,3
2016/01/01,西屯,WS_HR,1.2,0.5,1.6,1.6,1.3,1.2,1.5,1.2,0.2,0.4,0.4,1.5,2,1.4,1.7,2.1,2.4,2,0.7,0.6,0.9,1.6,0.5,0.7
2016/01/02,西屯,AMB_TEMP,19,19,19,19,19,19,18,18,19,21,21,22,22,23,23,22,22,21,21,20,20,20,20,20
2016/01/02,西屯,CH4,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.8,1.8,1.8,1.8,1.8,1.8
2016/01/02,西屯,CO,0.33,0.33,0.33,0.32,0.32,0.32,0.37,0.48,0.35,0.35,0.35,0.36,0.37,0.38,0.45,0.57,0.57,0.7,0.7,0.61,0.67,0.6,0.48,0.33
2016/01/02,西屯,NMHC,0.09,0.09,0.08,0.08,0.07,0.07,0.1,0.16,0.09,0.08,0.09,0.13,0.14,0.12,0.17,0.24,0.31,0.33,0.26,0.2,0.21,0.21,0.14,0.12
2016/01/02,西屯,NO,0.8,0.9,0.9,0.5,0.5,0.3,1,7.5,2.9,3.2,3.2,3.4,2.8,2.6,2.9,3.5,2.9,9.3,4,2.1,12,6,0.7,0.7
2016/01/02,西屯,NO2,12,10,11,8,8.6,8.4,14,17,9.7,10,13,13,13,16,27,33,29,44,33,29,35,30,24,16
2016/01/02,西屯,NOx,13,11,12,8.4,9.1,8.7,15,24,13,13,16,16,16,19,29,36,32,53,37,32,47,36,25,17
2016/01/02,西屯,O3,27,29,27,29,29,28,15,7.7,23,27,34,33,35,34,26,18,18,5.4,6.6,8.2,3.6,8.7,16,28
2016/01/02,西屯,PH_RAIN,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x
2016/01/02,西屯,PM10,51,50,51,57,63,66,66,51,45,46,58,66,74,78,78,82,87,91,92,97,103,106,82,59
2016/01/02,西屯,PM2.5,35,35,26,27,31,38,33,28,24,25,34,41,45,44,44,49,58,60,63,61,61,58,49,33
2016/01/02,西屯,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.2,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/02,西屯,RAIN_COND,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x
2016/01/02,西屯,RH,87,87,87,87,88,87,87,86,84,79,74,73,71,70,69,76,81,85,85,87,87,86,86,86
2016/01/02,西屯,SO2,2.3,1,0.9,0.8,0.5,0.3,0.4,0,0#,1.6,2.7,2.8,2.7,3.1,3.1,2.7,2.9,2.5,2.6,2.4,3,3.2,2.6,1.7
2016/01/02,西屯,THC,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,1.9,1.9,1.9,1.9,1.9,1.9,2,2.1,2.1,2.2,2.1,2,2,2,1.9,1.9
2016/01/02,西屯,WD_HR,1.9,47,63,43,32,42,42,34,38,5,17,30,32,357,107,11,20,335,317,44,79,304,340,36
2016/01/02,西屯,WIND_DIREC,46,40,73,286,46,41,37,34,42,321,37,44,340,69,162,45,318,317,28,38,99,322,24,336
2016/01/02,西屯,WIND_SPEED,3.3,3.1,3.6,3.1,2.2,2.2,1.5,2.5,3,3.3,3.8,3.2,2.5,1.1,1.1,1.6,1.6,1.6,1.2,0.8,1.3,1.3,1.9,1
2016/01/02,西屯,WS_HR,0.8,1.7,1.3,0.8,1.4,1.2,1.9,1.5,2.1,1,1.7,1.7,1.8,0.6,0.6,0.6,0.7,0.5,0.8,1.6,0.8,1,0.5,1.5
2016/01/03,西屯,AMB_TEMP,19,19,20,20,20,20,19,19,20,21,22,21,21,21,22,22,22,21,21,21,21,21,21,21
2016/01/03,西屯,CH4,1.7,1.8,1.8,1.7,1.7,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.8,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,2
2016/01/03,西屯,CO,0.26,0.29,0.28,0.23,0.27,0.28,0.31,0.34,0.39,0.35,0.32,0.37,0.59,0.84,0.67,0.52,0.39,0.49,0.56,0.54,0.62,0.62,0.63,0.73
2016/01/03,西屯,NMHC,0.08,0.13,0.08,0.06,0.05,0.06,0.06,0.07,0.09,0.07,0.08,0.09,0.19,0.34,0.38,0.19,0.15,0.22,0.19,0.19,0.23,0.2,0.22,0.37
