日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,觀音,AMB_TEMP,17,17,17,17,17,17,17,18,19,20,2#,22,21,21,20,20,19,19,19,19,19,19,19,19
2016/01/01,觀音,CO,0.45,0.43,0.41,0.34,0.36,0.37,0.35,0.36,0.37,0.37,0.36#,0.38#,0.33,0.3,0.3,0.29,0.3,0.35,0.35,0.36,0.38,0.39,0.37,0.35
2016/01/01,觀音,NO,1.2,1.1,1.3,0.8,0.8,0.8,1,1.6,3.1,3.5,3.4#,0.6,1.6,0.7,0.4,0.2,0.2,0.1,-0.1,-0.2,-0.2,0.1,-0.1,-0.1
2016/01/01,觀音,NO2,23,23,25,21,19,23,20,18,17,14,13#,6,7.6,4.8,4.7,4.9,6.2,5.8,5.1,4.4,4.5,4.9,5.3,5.1
2016/01/01,觀音,NOx,24,24,27,22,20,23,21,20,20,17,16#,6.6,9.2,5.5,5.1,5.1,6.5,5.9,5,4.2,4.3,5,5.2,5
2016/01/01,觀音,O3,35,34,30,32,33,28,30,30,32,37,17,31,45,47,47,47,44,46,46,47,46,43,44,43
2016/01/01,觀音,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,觀音,PM10,115,106,101,94,93,84,80,77,78,80,0#,80,66,70,74,75,75,82,89,92,92,97,101,91
2016/01/01,觀音,PM2.5,75,74,66,62,59,54,51,47,43,40,0#,40,13,19,27,23,27,29,33,33,37,40,40,44
2016/01/01,觀音,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,觀音,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,觀音,RH,68,67,70,67,69,73,72,70,68,66,64#,66,70,73,75,77,80,82,84,84,84,85,85,85
2016/01/01,觀音,SO2,7.8,8.3,12,6.9,6.7,9,9.4,10,8,6.4,5.7#,2.6,5,2.8,2.6,2.3,2.6,2.3,2.4,2.6,2.7,2.7,3.3,3
2016/01/01,觀音,WD_HR,85,86,83,84,84,84,85,82,83,85,82#,63,51,49,47,51,50,48,49,48,49,47,49,49
2016/01/01,觀音,WIND_DIREC,85,88,81,88,84,83,90,83,83,88,0#,55,50,51,47,50,49,48,49,49,48,46,52,52
2016/01/01,觀音,WIND_SPEED,6.4,6.3,5,5.8,6,5.6,5.6,6.6,7.5,6,0#,6.8,6.9,7.4,7.1,6.8,6.3,6.5,6.2,5.7,5.3,5,3.6,3
2016/01/01,觀音,WS_HR,6.4,6.2,5.5,5.4,6.1,5.7,5.8,5.8,6.4,6.4,4.5#,5.7,6.8,6.9,7.5,6.7,6.3,5.9,5.9,5.8,5.7,4.4,3.9,3.4
2016/01/02,觀音,AMB_TEMP,19,18,18,18,18,18,18,18,18,19,19,18,19,19,19,19,18,18,18,18,18,18,18,18
2016/01/02,觀音,CO,0.35,0.34,0.33,0.33,0.31,0.3,0.3,0.31,0.34,0.36,0.36,0.37,0.38,0.4,0.39,0.41,0.47,0.5,0.55,0.42,0.45,0.46,0.48,0.48
2016/01/02,觀音,NO,-0.1,-0.3,-0.1,-0.1,-0.3,-0.1,-0.1,0,0,0.2,0.2,0.5,0.1,0.3,0.2,0.5,0.2,0,0.3,-0.1,-0.1,-0.3,-0.2,-0.2
2016/01/02,觀音,NO2,4.6,4.1,4.1,3.9,4.1,4.2,5,5.2,7,8,7.6,7,7.2,10,10,15,13,16,22,12,17,17,16,18
2016/01/02,觀音,NOx,4.5,3.8,4,3.8,3.9,4.2,4.9,5.2,7,8.2,7.8,7.5,7.4,10,10,15,13,16,23,12,17,17,16,18
2016/01/02,觀音,O3,45,46,46,44,45,43,42,41,35,33,35,38,42,41,46,40,42,36,25,38,31,30,25,19
