日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,關山,AMB_TEMP,17,17,17,17,17,17,17,17,18,20,21,22,24,25,25,25,24,23,22,21,21,20,19,19
2016/01/01,關山,NO,1.3,0.9,0.9,0.7,0.6,0.6,0.8,1,1.8,1.8,1.8,1.4,1.5,1,0.9,0.8,0.9,0.7,0.9,0.6,0.6,0.7,1,0.7
2016/01/01,關山,NO2,4.2,3.5,2.7,3.6,4.1,4.1,5.6,5.4,6.2,6.5,5.6,6.8,5.3,4.2,3.6,6.2,7.1,6.7,7,6.2,5.4,7,4.3,4
2016/01/01,關山,NOx,5.4,4.5,3.6,4.3,4.7,4.7,6.4,6.4,8,8.3,7.3,8.2,6.8,5.2,4.5,7,7.9,7.4,7.8,6.8,5.9,7.7,5.3,4.7
2016/01/01,關山,O3,36,36,35,33,33,33,29,26,28,33,40,42,45,50,49,46,45,42,40,37,34,28,27,26
2016/01/01,關山,PM10,25,20,17,16,17,19,19,20,22,16,13,15,13,16,17,20,22,21,22,19,18,21,19,18
2016/01/01,關山,PM2.5,13,15,15,12,11,11,11,9,11,13,10,7,8,8,8,8,9,8,8,11,12,11,11,11
2016/01/01,關山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,關山,RH,77,77,76,75,75,76,77,78,73,66,58,54,49,44,44,46,53,58,63,68,72,76,79,80
2016/01/01,關山,SO2,1.6,1.7,1.6,1.5,1.7,1.9,1.8,1.7,1.9,2,1.8,1.8,1.7,1.6,1.7,1.6,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.5
2016/01/01,關山,WD_HR,65,30,19,57,63,65,57,42,59,66,66,63,63,59,59,65,59,337,36,31,338,48,349,29
2016/01/01,關山,WIND_DIREC,99,319,39,60,68,69,47,351,57,68,55,55,63,59,356,54,57,287,306,45,343,303,143,36
2016/01/01,關山,WIND_SPEED,2.2,1.5,1.5,1.8,2.1,2,1.4,1.5,1.8,2.3,3,2.6,2.5,2.4,1.8,2.3,1.8,1.5,1.9,1.6,1.2,0.9,0.6,1
2016/01/01,關山,WS_HR,1.2,0.4,0.5,0.9,1.5,1.3,0.8,0.5,1.1,1.6,2.8,2,1.8,1.4,0.9,1.2,1.4,0.4,0.6,0.5,0.5,0.4,0.3,0.4
2016/01/02,關山,AMB_TEMP,19,19,19,18,18,18,18,19,19,19,20,21,22,22,22,22,22,23,23,22,23,23,23,23
2016/01/02,關山,NO,0.9,0.9,0.8,1.8,2.4,2.6,3.5,6.4,4.2,3,3.9,4.3,2.7,2.8,2.7,3.7,3.8,3.4,3.1,2.8,2.3,2,2.1,2.6
2016/01/02,關山,NO2,4.9,3.9,4.3,3.7,3.2,4.4,8.3,10,8.7,3.1,5.2,5.9,2.9,5,5,14,11,9.6,9.6,7.3,5,4,4.9,5.9
2016/01/02,關山,NOx,5.8,4.8,5.1,5.5,5.5,7,12,17,13,6.1,9.1,10,5.6,7.8,7.7,18,14,13,13,10,7.3,6,6.9,8.5
2016/01/02,關山,O3,22,22,16,15,13,10,6.2,8,16,24,20,22,29,25,26,16,17,14,8.2,14,15,16,14,14
2016/01/02,關山,PM10,20,20,19,18,15,14,16,22,21,11,11,14,13,14,13,14,16,15,20,21,17,18,13,10
