日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,頭份,AMB_TEMP,17,17,17,17,17,16,15,15,17,20,22,23,24,23,23,22,21,20,19,19,19,19,19,19
2016/01/01,頭份,CH4,1.9,1.9,1.9,1.9,1.9,1.9,2.1,2.1,2.1,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2
2016/01/01,頭份,CO,0.46,0.44,0.43,0.43,0.42,0.4,0.51,0.63,0.78,0.57,0.44,0.42,0.42,0.37,0.36,0.38,0.42,0.46,0.45,0.47,0.44,0.44,0.46,0.45
2016/01/01,頭份,NMHC,0.08,0.08,0.07,0.07,0.07,0.07,0.12,0.16,0.21,0.14,0.08,0.07,0.07,0.05,0.04,0.05,0.09,0.1,0.08,0.1,0.09,0.06,0.09,0.08
2016/01/01,頭份,NO,2,1.9,1.5,1.4,1.5,0.7,1.4,5.9,13,6.8,3.6,2.5,1.8,2.3,2.2,2.3,2.2,1.8,1.9,1.8,1.6,1.4,1.4,1.2
2016/01/01,頭份,NO2,18,19,17,20,16,17,15,21,25,20,12,9.4,9.3,9,8.8,9.5,13,15,13,14,13,13,13,11
2016/01/01,頭份,NOx,20,21,19,22,17,17,16,27,38,26,16,12,11,11,11,12,15,17,14,15,14,14,14,12
2016/01/01,頭份,O3,47,45,44,41,40,37,22,13,13,31,41,50,55,48,45,42,36,31,33,30,31,32,32,32
2016/01/01,頭份,PM10,78,73,56,49,55,48,38,42,47,39,30,31,32,47,72,79,74,72,79,84,80,82,93,98
2016/01/01,頭份,PM2.5,48,37,32,31,29,25,23,27,29,28,22,17,19,25,28,30,33,32,35,34,32,37,42,43
2016/01/01,頭份,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,頭份,RH,67,68,71,72,73,74,78,80,76,67,61,56,57,66,69,72,73,78,81,84,84,83,83,84
2016/01/01,頭份,SO2,2.9,2.5,2.4,2.3,2,1.9,2,2.8,3.6,3.3,3.2,3.2,3.6,2.8,2.8,2.9,4.8,4.1,4.6,4.5,4.2,4.7,6,5.8
2016/01/01,頭份,THC,2,2,2,2,2,2,2.2,2.3,2.3,2.1,2,2,2,1.9,1.9,1.9,2,2,2,2,2,2,2,2
2016/01/01,頭份,WD_HR,71,71,70,76,78,88,144,129,204,96,87,47,41,230,172,136,75,90,73,73,76,73,58,43
2016/01/01,頭份,WIND_DIREC,71,76,69,78,83,104,130,158,187,94,57,39,304,162,175,64,75,108,55,59,78,62,58,357
