日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,馬公,AMB_TEMP,18,18,18,18,18,18,18,18,18,19,19,20,19,19,19,18,18,18,18,18,18,18,18,18
2016/01/01,馬公,CO,0.65,0.48,0.41,0.38,0.32,0.32,0.3,0.3,0.29,0.3,0.31,0.33,0.36,0.42,0.43,0.45,0.46,0.46,0.44,0.44,0.43,0.42,0.41,0.4
2016/01/01,馬公,NO,20,1.1,1,1.6,1.5,1.4,1.5,1.5,1.4,1.7,1.6,1.7,1.7,2,1.9,1.9,1.8,1.7,1.8,1.5,1.6,1.5,1.6,1.4
2016/01/01,馬公,NO2,8.1,3.9,3.1,2.1,1.9,1.7,1.7,1.7,1.8,1.8,1.5,1.7,1.9,2.9,3.2,4.3,4.9,5.2,5.1,4.6,4.2,3.8,3.4,3.1
2016/01/01,馬公,NOx,28,5,4,3.7,3.4,3.1,3.2,3.2,3.2,3.5,3.1,3.3,3.6,4.8,5,6.1,6.6,6.9,6.9,6.1,5.9,5.3,5,4.5
2016/01/01,馬公,O3,52,53,51,49,48,48,47,46,46,46,46,48,49,50,50,49,47,45,44,44,44,44,44,44
2016/01/01,馬公,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,馬公,PM10,183,175,84,72,68,61,55,56,57,54,50,50,54,63,72,77,81,82,84,88,88,88,89,84
2016/01/01,馬公,PM2.5,186,180,50,44,39,33,29,26,26,27,29,31,34,37,41,44,44,44,47,50,47,41,36,33
2016/01/01,馬公,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,馬公,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,馬公,RH,74,75,75,75,75,76,76,76,75,74,72,71,73,77,78,80,82,83,84,84,85,85,85,85
2016/01/01,馬公,SO2,2.4,2.3,1.8,1.7,1.4,1.4,1.2,1.2,1.3,1.3,1.2,1.4,1.5,1.6,1.7,2,2.6,2.5,2.5,2.6,2.6,2.6,2.5,2.4
2016/01/01,馬公,WD_HR,83,87,86,82,86,87,83,82,85,83,89,85,92,99,106,99,95,85,84,92,92,82,78,80
2016/01/01,馬公,WIND_DIREC,82,88,84,78,77,95,85,78,81,86,97,83,99,133,91,135,95,84,79,95,91,88,82,72
2016/01/01,馬公,WIND_SPEED,7.6,7.4,8.4,8.1,7.5,7,7.6,6.7,6.6,6.8,6.5,7,5.5,5.2,6,5.4,6.2,5.7,6.3,5.6,5.7,5.4,5.5,4.7
2016/01/01,馬公,WS_HR,5.3,5,5.6,5.5,5.2,5.3,5.2,4.9,4.8,4.7,4.3,4.6,3.2,2.3,2.5,2.9,3.3,3.8,3.9,2.9,3.1,3.4,3.7,3.2
2016/01/02,馬公,AMB_TEMP,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20
2016/01/02,馬公,CO,0.4,0.4,0.4,0.39,0.36,0.35,0.35,0.38,0.39,0.4,0.43,0.46,0.5,0.43,0.43,0.43,0.41,0.4,0.38,0.36,0.38,0.42,0.36,0.28
2016/01/02,馬公,NO,1.5,1.6,1.6,2,1.8,2,2,2,2.1,2.6,2.8,2.3,2.5,2.4,2.2,2.5,2.4,2.4,2.4,2,2.2,2.3,2.4,2
2016/01/02,馬公,NO2,3,3.1,3.2,3,2.5,2.6,2.7,3.8,4.4,6,5.1,5.1,6.4,6.6,5.6,7.3,6.3,6.1,5.8,4.8,5.5,6.5,5.4,2.9
2016/01/02,馬公,NOx,4.5,4.7,4.8,5,4.3,4.6,4.6,5.7,6.5,8.6,7.9,7.5,8.9,9,7.8,9.8,8.8,8.5,8.2,6.9,7.8,8.8,7.7,4.9
2016/01/02,馬公,O3,43,42,42,41,42,41,41,39,39,38,41,43,42,43,44,43,45,44,43,42,40,39,38,41
2016/01/02,馬公,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6.6,NR,NR,NR,NR,NR,NR,NR,6.4,5.8,5.6
2016/01/02,馬公,PM10,75,68,69,67,64,65,69,76,71,68,69,3x,0*,0*,0*,56x,111x,132x,43x,0*,0*,61x,41x,0*
2016/01/02,馬公,PM2.5,36,41,40,41,40,41,41,38,36,37,41,39*,34,39,40,38,41,39,33,32,31,30,22,18
2016/01/02,馬公,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.4,0.2,NR,0.2,NR,NR,NR,NR,NR,0.6,0.4
2016/01/02,馬公,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,129,NR,NR,NR,NR,NR,NR,NR,135,115,67
2016/01/02,馬公,RH,85,86,86,85,85,85,85,86,84,82,81,81,82,86,87,88,87,88,89,89,89,90,90,91
2016/01/02,馬公,SO2,2.6,0.2,0.3,0.4,0.1,0.4,0.3,0.2,0.5,0.8,0.7,0.6,0.6,0.6,0.5,0.5,0.1,0.3,0,-0.4,0.5,0.6,0.5,0.4
2016/01/02,馬公,WD_HR,75,78,74,81,80,76,82,79,79,75,79,76,70,76,76,72,72,68,311,310,69,52,49,52
2016/01/02,馬公,WIND_DIREC,74,82,68,81,76,85,79,88,82,72,82,86,66,69,77,75,78,285,304,319,52,50,47,42
2016/01/02,馬公,WIND_SPEED,4.7,3.8,4.8,4.8,4.5,4.5,4.6,4.6,5.2,5.6,4.9,3.6,2.6,4.5,4.1,3.2,2.5,1.8,2.6,1.9,1.6,2.4,2.3,1.5
2016/01/02,馬公,WS_HR,3.2,2.4,2.7,3,2.8,2.7,3.2,2.7,3.3,3.8,3.5,2.3,2.3,2.7,2.5,2.4,1.6,1.2,0.8,0.6,1.1,1.7,1.6,1.3
2016/01/03,馬公,AMB_TEMP,20,21,21,20,20,20,20,20,20,21,21,22,22,22,21,21,21,21,21,21,21,21,21,21
2016/01/03,馬公,CO,0.23,0.22,0.21,0.25,0.37,0.38,0.41,0.42,0.44,0.45,0.54,0.49,0.37,0.35,0.38,0.39,0.43,0.41,0.35,0.4,0.44,0.4,0.32,0.29
2016/01/03,馬公,NO,2,1.9,2.1,1.8,1.9,2.1,2.1,2.1,2.7,3.2,4.5,4,3.7,2.8,2.8,2.7,3.1,2.8,2.7,2.4,2.8,2.9,2.3,2.4
2016/01/03,馬公,NO2,2,1.8,1.3,1.9,2,4.3,6.8,4.8,7.7,9.5,11,10,5.4,3.9,5.9,7.5,11,10,11,10,12,11,6.7,6.5
2016/01/03,馬公,NOx,4,3.7,3.5,3.6,3.9,6.4,8.8,6.9,10,13,15,14,9,6.6,8.7,10,14,13,13,13,15,14,9,8.9
